"Film","Year","Rotten.Tomatoes..critics","Metacritic..critics","Rotten.Tomatoes.Audience","Metacritic.Audience","Primary.Genre","Opening.weekend...million.","Domestic.gross...million.","Foreign.Gross...million.","Worldwide.Gross...million.","X..of.Gross.earned.abroad","Budget...million.","Oscar.Winners","Oscar.Detail","Distributor","IMDb.Rating","Release.Date..US."
"Joker",2019,"69","59",88,"92",NA,"96.2","331","722.8","1053.8","68.6","55.0","Oscar Winner","Best Actor, Best Original Score","Warner Bros. Pictures",8.4,"Oct 4, 2019"
"Judy",2019,"83","66",85,"70",NA,"2.9","23.9","13.3","37.2","35.8","175.0","Oscar Winner","Best Actress, Best Makeup and Hairstyling","Roadside Attractions",6.8,"Sep 27, 2019"
"Jumanji: The Next Level",2019,"71","58",87,"64",NA,"59.3","192.1","297.3","489.4","60.7","125.0","","","Sony Pictures",6.7,"Dec 13, 2019"
"Knives Out",2019,"97","82",92,"69",NA,"26.8","47.6","60.6","108.2","56.0","40.0","","","Lionsgate",7.9,"Nov 27, 2019"
"Last Christmas",2019,"47","50",81,"49",NA,"11.4","32.3","51.3","83.6","61.4","25.0","","","Universal Pictures",6.5,"Nov 8, 2019"
"Late Night",2019,"80","70",77,"59",NA,"0.2","15.5","6.9","22.4","30.8","4.0","","","Amazon Studios",6.5,"Jun 7, 2019"
"Little",2019,"46","49",63,"53",NA,"15.4","40.9","8.3","49.2","16.9","20.0","","","Universal Pictures",5.5,"Apr 12, 2019"
"Little Women",2019,"95","91",93,"74",NA,"16.8","37.6","6.3","43.9","14.4","40.0","Oscar Winner","Best Costume Design","Sony Pictures",7.8,"Dec 25, 2019"
"Long Shot",2019,"81","67",75,"67",NA,"9.7","30.3","23.1","53.5","43.2","40.0","","","Lionsgate",6.8,"May 3, 2019"
"Ma",2019,"55","53",64,"54",NA,"18.1","45.9","15.3","61.2","25.0","5.0","","","Universal Pictures",5.6,"May 31, 2019"
"Maleficent: Mistress of Evil",2019,"40","43",95,"54",NA,"36.9","111.8","369.0","480.8","76.7","185.0","","","Walt Disney Studios",6.6,"Oct 18, 2019"
"Men in Black: International",2019,"23","38",66,"43",NA,"30","80","173.9","253.9","68.5","110.0","","","Sony Pictures",5.6,"Jun 14, 2019"
"Midsommar",2019,"83","72",63,"64",NA,"6.6","27.4","13.7","41.1","33.3","8.0","","","A24",7.1,"Jul 3, 2019"
"Midway",2019,"43","47",92,"53",NA,"17.9","51.2","54.7","105.9","51.7","100.0","","","Lionsgate",6.7,"Nov 8, 2019"
"Missing Link",2019,"89","68",67,"74",NA,"5.9","16.6","9.6","26.2","36.6","100.0","","","United Artists Releasing",6.7,"Apr 12, 2019"
"Motherless Brooklyn",2019,"61","60",80,"51",NA,"3.5","9.2","4.2","13.4","31.3","26.0","","","Warner Bros. Pictures",6.8,"Nov 1, 2019"
"Once Upon a Time in Hollywood",2019,"85","83",70,"76",NA,"41.1","141","231.0","372.0","62.1","90.0","Oscar Winner","Best Supporting Actor, Best Production Design","Sony Pictures",7.6,"Jul 26, 2019"
"Overcomer",2019,"50","17",98,"67",NA,"8.1","34.7","2.2","36.9","6.0","5.0","","","Sony Pictures",6.6,"Aug 23, 2019"
"Parasite",2019,"99","96",93,"89",NA,"0.4","18.3","99.0","117.3","84.4","11.0","Oscar Winner","Best Picture, Best Director, Best Original Screenplay and Best International Feature Film","Neon",8.5,"Oct 11, 2019"
"Pet Sematary",2019,"59","57",43,"61",NA,"24.5","24.5","17.3","41.8","41.4","21.0","","","Paramount Pictures",5.7,"Apr 5, 2019"
"Playing with Fire",2019,"22","24",78,"34",NA,"12.7","39.8","7.0","46.9","14.9","29.0","","","Paramount Pictures",5.1,"Nov 8, 2019"
"Playmobile: The Movie",2019,"17","25",60,"36",NA,"0.7","1.1","12.7","13.8","92.0","40.0","","","STX Entertainment",4.9,"Dec 6, 2019"
"Pokémon: Detective Pikachu",2019,"68","53",80,"76",NA,"54.4","144.1","287.6","431.7","66.6","150.0","","","Warner Bros. Pictures",6.5,"May 10, 2019"
"Poms",2019,"34","36",75,"57",NA,"5.4","13.6","2.8","16.4","17.1","10.0","","","STX Entertainment",6.1,"May 10, 2019"
"Queen & Slim",2019,"83","75",93,"57",NA,"11.9","19.5","0.0","19.5","0.0","30.0","","","Universal Pictures",7.1,"Nov 27, 2019"
"Rambo: Last Blood",2019,"27","26",82,"79",NA,"18.9","44.8","42.2","87.0","48.5","50.0","","","Lionsgate",6.1,"Sep 20, 2019"
"Ready or Not",2019,"89","64",78,"65",NA,"8","28.7","28.7","57.4","50.0","6.0","","","Fox Searchlight",6.9,"Aug 21, 2019"
"Replicas",2019,"10","19",37,"42",NA,"2.4","4","0.0","4.0","0.0","30.0","","","Entertainment Studios",5.4,"Jan 11, 2019"
"Richard Jewell",2019,"77","68",96,"75",NA,"4.7","22.3","20.7","43.1","48.0","45.0","","","Warner Bros. Pictures",7.5,"Dec 13, 2019"
"Rocketman",2019,"89","69",88,"74",NA,"25.7","96.4","98.8","195.2","50.6","40.0","","","Paramount Pictures",7.3,"May 31, 2019"
"Scary Stories to Tell in the Dark",2019,"79","61",72,"65",NA,"20.9","68.9","35.6","104.5","34.1","25.0","","","Lionsgate",6.2,"August 9, 2019"
"Shazam!",2019,"91","71",90,"81",NA,"53.5","56.8","102.3","159.1","64.3","100","","","Warner Bros. Pictures",7,"April 5, 2019"
"Spider-Man: Far From Home",2019,"90","69",95,"76",NA,"92.6","390.5","741.4","1131.9","65.5","160","","","Sony Pictures",7.4,"July 2, 2019"
"Spies in Disguise",2019,"77","54",92,"69",NA,"13.4","66.8","98.4","165.1","59.6","100.0","","","20th Century Fox",6.8,"December 25, 2019"
"Star Wars: The Rise of Skywalker",2019,"54","54",86,"50",NA,"177.4","390.6","384.2","774.8","49.6","275","","","Walt Disney Studios",6.5,"December 20, 2019"
"Stuber",2019,"42","42",79,"59",NA,"8.2","22.4","10","32.4","30.9","16","","","20th Century Fox",6.2,"July 12, 2019"
"Terminator: Dark Fate",2019,"71","54",82,"40",NA,"29","61.4","194.3","255.7","76.0","185","","","Paramount Pictures",6.2,"November 1, 2019"
"The Addams Family",2019,"43","46",69,"43",NA,"30.3","96.5","88.6","185.1","47.9","38","","","United Artists Releasing",5.8,"October 11, 2019"
"The Angry Birds Movie 2",2019,"73","60",84,"68",NA,"10.4","41.7","105.1","146.7","71.6","65","","","Sony Pictures",6.4,"August 14, 2019"
"The Curse of La Llorona",2019,"29","41",40,"47",NA,"26.3","54.7","67.4","122.1","55.2","9","","","Warner Bros. Pictures",5.2,"April 19, 2019"
"The Farewell",2019,"99","89",87,"89",NA,"0.4","17.7","1.9","19.6","9.7","3","","","A24",7.5,"July 12, 2019"
"The Goldfinch",2019,"24","40",72,"70",NA,"2.7","5.3","4.6","9.9","46.5","45","","","Warner Bros. Pictures",6.4,"September 13, 2019"
"The Good Liar",2019,"66","55",85,"48",NA,"5.6","15.5","9.6","25.1","38.2","10","","","Warner Bros. Pictures",6.7,"November 15, 2019"
"The Hustle",2019,"14","35",45,"35",NA,"13","35.4","59.6","95","62.7","21","","","United Artists Releasing",5.4,"May 10, 2019"
"The Intruder",2019,"32","39",70,"47",NA,"10.9","35.4","1.2","36.6","3.3","10","","","Sony Pictures",5.6,"May 3, 2019"
"The Kid Who Would be King",2019,"90","66",64,"59",NA,"7.2","16.8","12.9","29.7","43.4","59","","","20th Century Fox",6.1,"January 25, 2019"
"The Kitchen",2019,"22","35",69,"39",NA,"5.5","12.2","3.7","15.9","23.3","38","","","Warner Bros. Pictures",5.6,"August 9, 2019"
"The LEGO Movie 2: The Second Part",2019,"86","65",72,"70",NA,"34.1","105.1","79.8","184.9","43.2","99","","","Warner Bros. Pictures",6.6,"February 8, 2019"
"The Lighthouse",2019,"92","83",71,"82",NA,"0.4","10.4","0.5","10.9","4.6","4","","","A24",7.4,"October 18, 2019"
"The Lion King",2019,"53","55",88,"67",NA,"191.8","543.6","1112.7","1656.3","67.2","260","","","Walt Disney Studios",6.8,"July 19, 2019"
"The Peanut Butter Falcon",2019,"95","70",96,"78",NA,"0.2","20.4","0.3","20.8","1.4","6.2","","","Roadside Attractions",7.6,"August 9, 2019"
"The Secret Life of Pets 2",2019,"59","55",90,"61",NA,"46.7","158.3","271.2","429.4","63.2","80","","","Universal Pictures",6.4,"June 7, 2019"
"The Sun is Also a Star",2019,"51","52",64,"59",NA,"2.5","5","1.7","6.7","25.4","9","","","Warner Bros. Pictures",5.9,"May 17, 2019"
"The Upside",2019,"40","46",85,"53",NA,"20.4","107.8","13.2","121","10.9","37.5","","","STX Entertainment",7,"January 11, 2019"
"Tolkien",2019,"51","48",75,"52",NA,"2.2","4.5","3.2","7.8","41.0","20","","","Fox Searchlight",6.8,"May 10, 2019"
"Toy Story 4",2019,"97","84",94,"80",NA,"120.9","434","639.4","1073.4","59.6","200","Oscar Winner","Best Animated Feature Film","Walt Disney Studios",7.7,"June 21, 2019"
"Tyler Perry's A Madea Family Funeral",2019,"13","39",24,"37",NA,"27.1","72.1","1.1","73.2","1.5","20","","","Lionsgate",4.6,"March 1, 2019"
"UglyDolls",2019,"28","39",56,"45",NA,"8.6","20.2","12.3","32.5","37.8","45","","","STX Entertainment",5.1,"May 3, 2019"
"Us",2019,"94","81",68,"67",NA,"71.1","152.4","64.2","216.6","29.6","20","","","Universal Pictures",6.8,"March 22, 2019"
"What Men Want",2019,"45","49",32,"27",NA,"18.2","54.6","15.7","70.3","22.3","20","","","Paramount Pictures",5.4,"February 8, 2019"
"Where’d You Go Bernadette",2019,"49","51",74,"65",NA,"3.5","9.2","0.9","10.1","8.9","18","","","Annapurna Pictures",6.5,"August 16, 2019"
"Wonder Park",2019,"31","46",36,"48",NA,"15.9","42.1","18","60.1","30.0","90","","","Paramount Pictures",5.8,"March 15, 2019"
"Yesterday",2019,"63","56",89,"63",NA,"17","73.3","78","151.3","51.6","26","","","Universal Pictures",6.8,"June 28, 2019"
"Zombieland: Double Tap",2019,"69","56",88,"57",NA,"26.8","72.3","45.5","117.8","38.6","42","","","Sony Pictures",6.7,"October 18, 2019"
